Main Stream Media,Top Investor,%,Top Donor,Owner,Owner Type,Medium,Reach,Est. Monthly
Wikipedia,Google,,Arcadia,,Non Profit,Digital Only,5B,1700000000
Wikipedia,Wojcicki Foundation (YouTube),,Google Org,,Non Profit,Digital Only,5B,1700000000
Wikipedia,-,,Amazon,,Non Profit,Digital Only,5B,1700000000
Wikipedia,-,,Musk Fundation,,Non Profit,Digital Only,5B,1700000000
Wikipedia,-,,Facebook,,Non Profit,Digital Only,5B,1700000000
Wikipedia,-,,George Soros,,Non Profit,Digital Only,5B,1700000000
Wikipedia,-,,Craig Newman,,Non Profit,Digital Only,5B,1700000000
Wikipedia,-,,Jim Pacha,,Non Profit,Digital Only,5B,1700000000
Fox ,Fox Corporation,39%,,Murdoch Family,Publicly Traded,TV/digital site,2.6M,833000000
Fox ,NOVA Entertaiment Group,,,,Publicly Traded,TV/digital site,2.6M,833000000
Fox ,News Corp,39%,,Murdoch Family,Publicly Traded,TV/digital site,2.6M,833000000
Fox ,The Vanguard Group Inc,13.05%,,,Publicly Traded,TV/digital site,2.6M,833000000
Fox ,Independent Franchise Partners LLC,7.76%,,,Publicly Traded,TV/digital site,2.6M,833000000
Fox ,Yacktman Asset Management LP,5.55%,,,Publicly Traded,TV/digital site,2.6M,833000000
Fox ,BlackRock Fund Advisors,4.99%,,,Publicly Traded,TV/digital site,2.6M,833000000
CNN,Warner Media LLC,,,,Publicly Traded,TV/digital site,2.8M,482000000
CNN,Discovery Media ,,,,Publicly Traded,TV/digital site,2.8M,482000000
CNN,Randall L. Stephenson,,,,Publicly Traded,TV/digital site,2.8M,482000000
CNN,"John J. Stephens,",,,,Publicly Traded,TV/digital site,2.8M,482000000
CNN,John T. Stankey,,,,Publicly Traded,TV/digital site,2.8M,482000000
CNN,"The Vanguard Group, Inc. ",7.43%,,,Publicly Traded,TV/digital site,2.8M,482000000
CNN,BlackRock Fund Advisors,4.85%,,,Publicly Traded,TV/digital site,2.8M,482000000
CNN, SSgA Funds Management Inc.,4.13%,,,Publicly Traded,TV/digital site,2.8M,482000000
E.W. Scripps Local TV (160 Local Cable TV),Berkshire Hathaway,,,Warren Buffet,Publicly Traded,TV/digital site,11M,330000000
E.W. Scripps Local TV (160 Local Cable TV),Comcast Cable Provider,,,,Publicly Traded,TV/digital site,11M,330000000
ABC News,Walt Disney Company,,,Robert A Iger,Publicly Traded,TV/digital site,9.9M,300000000
ABC News, Laurene Powell Jobs Trust,,,Steve Jobs Wife,Publicly Traded,TV/digital site,9.9M,300000000
ABC News,The Vanguard Group Inc,7.66%,,,Publicly Traded,TV/digital site,9.9M,300000000
ABC News,BlackRock Fund Advisors,4.36%,,,Publicly Traded,TV/digital site,9.9M,300000000
ABC News, SSgA Funds Management Inc.,4.11%,,,Publicly Traded,TV/digital site,9.9M,300000000
NBC News,Comcast ,,,The Roberts Family,Publicly Traded,TV/digital site,8.3M,249000000
NBC News,The Vanguard Group Inc,8.11%,,,Publicly Traded,TV/digital site,8.3M,249000000
NBC News,Capital Research & Management Group,4.57%,,,Publicly Traded,TV/digital site,8.3M,249000000
NBC News,BlackRock Fund Advisors,4.26%,,,Publicly Traded,TV/digital site,8.3M,249000000
CBS News,CBS Corporation,,,National Amusements,Publicly Traded,TV/digital site,6.4M,192000000
CBS News,RedStone Family,,,,Publicly Traded,TV/digital site,6.4M,192000000
CBS News,The Vanguard Group Inc,,,,Publicly Traded,TV/digital site,6.4M,192000000
CBS News,Credit Suisse Securities USA,6.25%,,,Publicly Traded,TV/digital site,6.4M,192000000
CBS News,BlackRock Fund Advisors,6.21%,,,Publicly Traded,TV/digital site,6.4M,192000000
CBS News, SSgA Funds Management Inc.,5.88%,,,Publicly Traded,TV/digital site,6.4M,192000000
Yahoo News ,Apollo Global Management,90%,,,Publicly Traded,Digital Only,3M,175000000
Yahoo News ,Verizon Media,10%,,,Publicly Traded,Digital Only,3M,175000000
MSNBC,Comcast ,33%,,The Roberts Family,Publicly Traded,TV/digital site,2.75M,170000000
MSNBC,The Vanguard Group Inc,8.11%,,,Publicly Traded,TV/digital site,2.75M,170000000
MSNBC,Capital Research & Management Group,4.57%,,,Publicly Traded,TV/digital site,2.75M,170000000
MSNBC,BlackRock Fund Advisors,4%,,,Publicly Traded,TV/digital site,2.75M,170000000
NPR,Federal Government,,National Donors,,Federally Funded,Radio/Digital,165M,165000000
Hearst Communications,Hearst Family,,,,Private For Profit,Print/digital/TV/ Radio,,161438000
USA Today (Gannett Co.),New Media Investment Group,,,,Private For Profit,Print / Digital,140M,140000000
USA Today (Gannett Co.),The Vanguard Group Inc,7%,,,Private For Profit,Print / Digital,140M,140000000
USA Today (Gannett Co.),BlackRock Fund Advisors,7%,,,Private For Profit,Print / Digital,140M,140000000
Forbes,Integrated Whale Media,,,,Private For Profit,Print / Digital,140M,140000000
Forbes,Forbes Family,,,,Private For Profit,Print / Digital,140M,140000000
